THE    DH_IY
NECESSITATING    N_AH AH_S S_EH EH_S S_IH IH_T T_EH EH_IY IY_T T_IH IH_NG
NEBULOUS    N_EH EH_B B_Y Y_AH AH_L L_AH AH_S
NEBUCHADNEZZAR    N_EH EH_B B_Y Y_UW UW_K K_AE AE_D D_N N_EH EH_Z Z_AA AA_R
NAZARENE    N_AA AA_Z Z_AA AA_R R_IY IY_N
NAVVIES    N_AE AE_V V_IY IY_Z
NAVARRE    N_AA AA_V V_AA AA_R
NAUSEOUS    N_AO AO_SH SH_AH AH_S
NAUGHTIEST    N_AO AO_T T_IY IY_AH AH_S S_T
NATURALNESS    N_AE AE_CH CH_R R_AH AH_L L_N N_EH EH_S
NATURALIZED    N_AE AE_CH CH_R R_AH AH_L L_AA AA_IY IY_Z Z_D
NATURALISM    N_AE AE_CH CH_R R_AH AH_L L_IH IH_Z Z_AH AH_M
NATURA    N_AE AE_CH CH_UH UH_R R_AH
NATIONALISM    N_AE AE_SH SH_AH AH_N N_AH AH_L L_IH IH_Z Z_AH AH_M
NATALIE    N_AE AE_T T_AH AH_L L_IY
NATA    N_AA AA_T T_AH
NAT    N_AE AE_T
NARI    N_AA AA_R R_IY
NARBONNE    N_AA AA_R R_B B_AH AH_N
NARBERTH    N_AA AA_R R_B B_UH UH_R R_TH
NARATU    N_AA AA_R R_AA AA_T T_UW
NARA    N_AA AA_R R_AH
NAPS    N_AE AE_P P_S
NAPIER    N_EH EH_IY IY_P P_IY IY_UH UH_R
NAOMI'S    N_EH EH_IY IY_AO AO_UH UH_M M_IY IY_Z
NANTES    N_AE AE_N N_T T_S
NANSEN    N_AE AE_N N_S S_AH AH_N
NANNY'S    N_AE AE_N N_IY IY_Z
NANCE    N_AE AE_N N_S
NAMESAKES    N_EH EH_IY IY_M M_S S_EH EH_IY IY_K K_S
NAILER    N_EH EH_IY IY_L L_UH UH_R
NAGS    N_AE AE_G G_Z
NAGASAKI    N_AA AA_G G_AA AA_S S_AA AA_K K_IY
MYSTIFYING    M_IH IH_S S_T T_AH AH_F F_AA AA_IY IY_IH IH_NG
MYSTIFIER    M_IH IH_S S_T T_AH AH_F F_AA AA_IY IY_UH UH_R
MYSTICS    M_IH IH_S S_T T_IH IH_K K_S
MYSTICALLY    M_IH IH_S S_T T_IH IH_K K_L L_IY
MYSTERIOUSNESS    M_IH IH_S S_T T_IH IH_R R_Y Y_AH AH_S S_N N_AH AH_S
MUZZLED    M_AH AH_Z Z_AH AH_L L_D
MUTUALITY    M_Y Y_UW UW_CH CH_UW UW_AE AE_L L_IH IH_T T_IY
MUTTALIB    M_AH AH_T T_AH AH_L L_IH IH_B
MUTINOUS    M_Y Y_UW UW_T T_AH AH_N N_AH AH_S
MUSTAPHA    M_AH AH_S S_T T_AE AE_F F_AH
MUSTANGS    M_AH AH_S S_T T_AE AE_NG NG_Z
MUSTACHIOS    M_AH AH_S S_T T_AE AE_SH SH_IY IY_AO AO_UH UH_Z
MUSQUITO    M_UW UW_S S_K K_IY IY_T T_AO AO_UH
MUSKY    M_AH AH_S S_K K_IY
MUSKRAT'S    M_AH AH_S S_K K_R R_AE AE_T T_S
MUSKETOON    M_AH AH_S S_K K_AH AH_T T_UW UW_N
MUSICK    M_Y Y_UW UW_S S_IH IH_K
MUSHED    M_AH AH_SH SH_T
MUSGRAVE    M_AH AH_S S_G G_R R_EH EH_IY IY_V
MURRY    M_UH UH_R R_IY
MURFREESBORO    M_UH UH_R R_F F_R R_IY IY_S S_B B_UH UH_R R_AO AO_UH
MURDO    M_Y Y_UH UH_R R_D D_AO AO_UH
MUNSTER    M_AH AH_N N_S S_T T_UH UH_R
MUNSEY'S    M_AH AH_N N_Z Z_IY IY_Z
MUNNY    M_AH AH_N N_IY
MUNICH    M_Y Y_UW UW_N N_IH IH_K
MUNCHKINS    M_AH AH_N N_CH CH_K K_IH IH_N N_Z
MULTIPLEX    M_AH AH_L L_T T_IY IY_P P_L L_EH EH_K K_S
MULTIFARIOUS    M_AH AH_L L_T T_IY IY_F F_EH EH_R R_IY IY_AH AH_S
MULLED    M_AH AH_L L_D
MULISH    M_Y Y_UW UW_L L_IH IH_SH
MULETEERS    M_Y Y_UW UW_L L_AH AH_T T_IH IH_R R_Z
MULE'S    M_Y Y_UW UW_L L_Z
MUKY    M_UW UW_K K_IY
MUHAMMAD    M_UH UH_HH HH_AA AA_M M_AH AH_D
MUFFLER    M_AH AH_F F_L L_UH UH_R
MUDS    M_AH AH_D D_Z
MUDDLETON    M_AH AH_D D_AH AH_L L_T T_AH AH_N
MUDDIED    M_AH AH_D D_IY IY_D
MUCKLE    M_AH AH_K K_AH AH_L
MUCK    M_AH AH_K
MUCHE    M_AH AH_CH
MOZART'S    M_AO AO_UH UH_Z Z_AA AA_R R_T T_S
MOVELESS    M_UW UW_V V_L L_AH AH_S
MOUSTACHED    M_AH AH_S S_T T_AE AE_SH SH_T
MOURN'D    M_AO AO_R R_N N_D
MOUNTAINEERING    M_AA AA_UH UH_N N_T T_IH IH_N N_IH IH_R R_IH IH_NG
MOULTON    M_AO AO_UH UH_L L_T T_AH AH_N
MOTTE    M_AA AA_T
MOTORMAN    M_AO AO_UH UH_T T_UH UH_R R_M M_AH AH_N
MOTORISTS    M_AO AO_UH UH_T T_UH UH_R R_IH IH_S S_T T_S
MOTORED    M_AO AO_UH UH_T T_UH UH_R R_D
MOTIVATION    M_AO AO_UH UH_T T_AH AH_V V_EH EH_IY IY_SH SH_AH AH_N
MOTIF    M_AO AO_UH UH_T T_IY IY_F
MOT    M_AA AA_T
MOSKVA    M_AA AA_S S_K K_V V_AH
MOSEN    M_AO AO_UH UH_Z Z_AH AH_N
MOSELY    M_AO AO_UH UH_Z Z_L L_IY
MOSAICS    M_AO AO_UH UH_Z Z_EH EH_IY IY_IH IH_K K_S
MORTGAGES    M_AO AO_R R_G G_IH IH_JH JH_IH IH_Z
MORTAL'S    M_AO AO_R R_T T_AH AH_L L_Z
MORT    M_AO AO_R R_T
MORROWS    M_AO AO_R R_AO AO_UH UH_Z
MORRISES    M_AO AO_R R_IH IH_S S_IH IH_Z
MORNS    M_AO AO_R R_N N_Z
MORLOCK    M_AO AO_R R_L L_AH AH_K
MORLEYS    M_AO AO_R R_L L_IY IY_Z
MORGESONS    M_AO AO_R R_G G_IH IH_S S_AH AH_N N_Z
MORES    M_AO AO_R R_IY IY_Z
MORDRED    M_AO AO_R R_D D_UH UH_R R_D
MORDIOUX    M_AO AO_R R_D D_UW
MORDAUNT    M_AO AO_R R_D D_AO AO_N N_T
MORDAN    M_AO AO_R R_D D_AH AH_N
MORBUS    M_AO AO_R R_B B_AH AH_S
MORBIDNESS    M_AO AO_R R_B B_AH AH_D D_N N_AH AH_S
MORALIZING    M_AO AO_R R_AH AH_L L_AA AA_IY IY_Z Z_IH IH_NG
MORALIZED    M_AO AO_R R_AH AH_L L_AA AA_IY IY_Z Z_D
MORALITIES    M_UH UH_R R_AE AE_L L_IH IH_T T_IY IY_Z
MORALISTIC    M_AO AO_R R_AH AH_L L_IH IH_S S_T T_IH IH_K
MOPSUS    M_AA AA_P P_S S_AH AH_S
MOPS    M_AA AA_P P_S
MOPPING    M_AA AA_P P_IH IH_NG
MOPED    M_AO AO_UH UH_P P_T
MOOTED    M_UW UW_T T_IH IH_D
MOOT    M_UW UW_T
MOONEY    M_UW UW_N N_IY
MOOING    M_UW UW_IH IH_NG
MONYGHAM    M_AO AO_UH UH_N N_IY IY_G G_AH AH_M
MONY    M_AO AO_UH UH_N N_IY
MONUMENTAL    M_AA AA_N N_Y Y_UW UW_M M_EH EH_N N_T T_AH AH_L
MONTONI'S    M_AO AO_UH UH_N N_T T_AO AO_UH UH_N N_IY IY_Z
MONTMARTRE    M_AA AA_N N_M M_AE AE_R R_T T_R R_AH
MONTLHERY    M_AA AA_N N_T T_L L_UH UH_R R_IY
MONTFORD    M_AH AH_N N_T T_F F_AO AO_R R_D
MONTESSORI    M_AA AA_N N_T T_AH AH_S S_AO AO_R R_IY
MONTAUK    M_AO AO_UH UH_N N_T T_AO AO_K
MONTALEMBERT    M_AA AA_N N_T T_AE AE_L L_AH AH_M M_B B_UH UH_R R_T
MONTALBAN    M_AA AA_N N_T T_AE AE_L L_B B_AH AH_N
MONSIGNOR'S    M_AA AA_N N_S S_IY IY_N N_Y Y_UH UH_R R_Z
MONSIGNOR    M_AA AA_N N_S S_IY IY_N N_Y Y_UH UH_R
MONOPOLIZED    M_AH AH_N N_AA AA_P P_AH AH_L L_AA AA_IY IY_Z Z_D
MONOPOLIES    M_AH AH_N N_AA AA_P P_AH AH_L L_IY IY_Z
MONOLOG    M_AA AA_N N_AH AH_L L_AO AO_G
MONOGRAPH    M_AA AA_N N_AH AH_G G_R R_AE AE_F
MONOGRAMS    M_AA AA_N N_AH AH_G G_R R_AE AE_M M_Z
MONOGAMY    M_AH AH_N N_AA AA_G G_AH AH_M M_IY
MONOCLE    M_AA AA_N N_AH AH_K K_AH AH_L
MONITOR'S    M_AA AA_N N_AH AH_T T_UH UH_R R_Z
MONITORS    M_AA AA_N N_AH AH_T T_UH UH_R R_Z
MONIES    M_AH AH_N N_IY IY_Z
MONICA'S    M_AA AA_N N_IH IH_K K_AH AH_Z
MONGERS    M_AH AH_NG NG_G G_UH UH_R R_Z
MONGAN    M_AA AA_NG NG_G G_AH AH_N
MONDE    M_AA AA_N N_D
MONDAY'S    M_AH AH_N N_D D_IY IY_Z
MONALDESCHI    M_AA AA_N N_AH AH_L L_D D_EH EH_S S_K K_IY
MONADS    M_AO AO_UH UH_N N_AE AE_D D_Z
MONACO    M_AA AA_N N_AH AH_K K_AO AO_UH
MOMSEY'S    M_AA AA_M M_Z Z_IY IY_Z
MOMSEY    M_AA AA_M M_Z Z_IY
MOLUCCAS    M_AH AH_L L_UW UW_K K_AH AH_Z
MOLLUSCS    M_AA AA_L L_AH AH_S S_K K_S
MOLIERE'S    M_AO AO_UH UH_L L_Y Y_EH EH_R R_Z
MOLECULAR    M_AH AH_L L_EH EH_K K_Y Y_AH AH_L L_UH UH_R
MOLDS    M_AO AO_UH UH_L L_D D_Z
MOLDINGS    M_AO AO_UH UH_L L_D D_IH IH_NG NG_Z
MOLDING    M_AO AO_UH UH_L L_D D_IH IH_NG
MOIRA    M_AO AO_IY IY_R R_AH
MOIR    M_AO AO_IY IY_R
MOHUNES    M_AO AO_UH UH_HH HH_UW UW_N N_Z
MODUS    M_AO AO_UH UH_D D_AH AH_S
MODULATIONS    M_AA AA_JH JH_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N N_Z
MODULATION    M_AA AA_JH JH_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N
MODOC    M_AA AA_D D_AH AH_K
MODERNIZED    M_AA AA_D D_UH UH_R R_N N_AA AA_IY IY_Z Z_D
MODERNITY    M_AA AA_D D_UH UH_R R_N N_AH AH_T T_IY
MOBILIZING    M_AO AO_UH UH_B B_AH AH_L L_AA AA_IY IY_Z Z_IH IH_NG
MOBILIZED    M_AO AO_UH UH_B B_AH AH_L L_AA AA_IY IY_Z Z_D
MOATS    M_AO AO_UH UH_T T_S
MOAB    M_AO AO_UH UH_AE AE_B
MIXT    M_IH IH_K K_S S_T
MITIGATIONS    M_IH IH_T T_AH AH_G G_EH EH_IY IY_SH SH_AH AH_N N_Z
MITCHELLS    M_IH IH_CH CH_AH AH_L L_Z
MIT    M_IH IH_T
MISSY'S    M_IH IH_S S_IY IY_Z
MISSTATEMENTS    M_IH IH_S S_T T_EH EH_IY IY_T T_M M_AH AH_N N_T T_S
MISSPELT    M_IH IH_S S_S S_P P_EH EH_L L_T
MISSPELLED    M_IH IH_S S_S S_P P_EH EH_L L_D
MISSOURIANS    M_AH AH_Z Z_UH UH_R R_IY IY_AH AH_N N_Z
MISS'D    M_IH IH_S S_SH SH_D
MISREPRESENTED    M_IH IH_S S_R R_EH EH_P P_R R_IH IH_Z Z_EH EH_N N_T T_IH IH_D
MISREPRESENTATIONS    M_IH IH_S S_R R_EH EH_P P_R R_IH IH_Z Z_EH EH_N N_T T_EH EH_IY IY_SH SH_AH AH_N N_Z
MISREAD    M_IH IH_S S_R R_IY IY_D
MISJUDGED    M_IH IH_S S_JH JH_AH AH_JH JH_D
MISINTERPRETATIONS    M_IH IH_S S_IH IH_N N_T T_UH UH_R R_P P_R R_AH AH_T T_EH EH_IY IY_SH SH_AH AH_N N_Z
MISINTERPRET    M_IH IH_S S_IH IH_N N_T T_UH UH_R R_P P_R R_AH AH_T
MISGAVE    M_IH IH_S S_G G_EH EH_IY IY_V
MISFITS    M_IH IH_S S_F F_IH IH_T T_S
MISE    M_AA AA_IY IY_Z
MISDOUBT    M_IH IH_S S_D D_AA AA_UH UH_T
MISCONSTRUED    M_IH IH_S S_K K_AH AH_N N_S S_T T_R R_UW UW_D
MISCELLANY    M_IH IH_S S_AH AH_L L_EH EH_IY IY_N N_IY
MISCALLED    M_IH IH_S S_K K_AA AA_L L_D
MISBEHAVED    M_IH IH_S S_B B_IY IY_HH HH_EH EH_IY IY_V V_D
MISBEHAVE    M_IH IH_S S_B B_IY IY_HH HH_EH EH_IY IY_V
MISAPPLICATION    M_IH IH_S S_AE AE_P P_L L_AH AH_K K_EH EH_IY IY_SH SH_AH AH_N
MISANTHROPIC    M_IH IH_S S_AH AH_N N_TH TH_R R_AH AH_P P_IH IH_K
MISANTHROPE    M_IH IH_S S_AH AH_N N_TH TH_R R_AO AO_UH UH_P
MINUAI    M_IH IH_N N_Y Y_UW UW_EH EH_IY
MINNIEMASHIE    M_IH IH_N N_IY IY_AH AH_M M_AA AA_SH SH_IY
MINISTRATION    M_IH IH_N N_AH AH_S S_T T_R R_EH EH_IY IY_SH SH_AH AH_N
MINISTRANT    M_IH IH_N N_AH AH_S S_T T_R R_AH AH_N N_T
MINIATURES    M_IH IH_N N_IY IY_AH AH_CH CH_UH UH_R R_Z
MINGOTT'S    M_IH IH_N N_G G_AH AH_T T_S
MINGOES    M_IH IH_NG NG_G G_AO AO_UH UH_Z
MINE'S    M_AA AA_IY IY_N N_Z
MINER'S    M_AA AA_IY IY_N N_UH UH_R R_Z
MINERALOGY    M_IH IH_N N_UH UH_R R_AA AA_L L_AH AH_JH JH_IY
MINDEDNESS    M_AA AA_IY IY_N N_D D_IH IH_D D_N N_AH AH_S
MINCINGLY    M_IH IH_N N_S S_IH IH_NG NG_L L_IY
MINCHIN'S    M_IH IH_N N_CH CH_IH IH_N N_Z
MINAFER    M_IH IH_N N_AH AH_F F_UH UH_R
MIN    M_IH IH_N
MIMICKING    M_IH IH_M M_IH IH_K K_IH IH_NG
MILVEY    M_IH IH_L L_V V_IY
MILLPOND    M_IH IH_L L_P P_AH AH_N N_D
MILLIMETRE    M_IH IH_L L_AH AH_M M_IY IY_T T_UH UH_R
MILLIMETER    M_IH IH_L L_AH AH_M M_IY IY_T T_UH UH_R
MILLENNIUM    M_AH AH_L L_EH EH_N N_IY IY_AH AH_M
MILLBROOK    M_IH IH_L L_B B_R R_UH UH_K
MILLARD'S    M_IH IH_L L_UH UH_R R_D D_Z
MILITARISM    M_IH IH_L L_AH AH_T T_UH UH_R R_IH IH_Z Z_AH AH_M
MILITANCY    M_IH IH_L L_AH AH_T T_AH AH_N N_S S_IY
MILESTONES    M_AA AA_IY IY_L L_S S_T T_AO AO_UH UH_N N_Z
MILEAGE    M_AA AA_IY IY_L L_IH IH_JH
MILDMAY'S    M_AA AA_IY IY_L L_D D_M M_EH EH_IY IY_Z
MILDEWED    M_IH IH_L L_D D_UW UW_D
MIGRATES    M_AA AA_IY IY_G G_R R_EH EH_IY IY_T T_S
MIGNONETTE    M_IH IH_G G_N N_AH AH_N N_EH EH_T
MIGHT'ST    M_AA AA_IY IY_T T_S S_T
MIGHTINESSES    M_AA AA_IY IY_T T_IY IY_N N_AH AH_S S_IH IH_Z
MIGHTEST    M_AA AA_IY IY_T T_AH AH_S S_T
MIE'S    M_IY IY_Z
MIDLANDS    M_IH IH_D D_L L_AE AE_N N_D D_Z
MICROSCOPICALLY    M_AA AA_IY IY_K K_R R_AH AH_S S_K K_AA AA_P P_IH IH_K K_L L_IY
MICROBES    M_AA AA_IY IY_K K_R R_AO AO_UH UH_B B_Z
MICROBE    M_AA AA_IY IY_K K_R R_AO AO_UH UH_B
MICHAELSBURG    M_AA AA_IY IY_K K_AH AH_L L_Z Z_B B_UH UH_R R_G
MGWANA    M_G G_W W_AA AA_N N_AH
MEZQUITE    M_EH EH_Z Z_K K_W W_IY IY_T
MEYERBEER    M_AA AA_IY IY_UH UH_R R_B B_IH IH_R
MEXICANA    M_EH EH_K K_S S_IH IH_K K_AE AE_N N_AH
METTERNICH    M_EH EH_T T_UH UH_R R_N N_IH IH_CH
METRODORUS    M_EH EH_T T_R R_AH AH_D D_AO AO_R R_AH AH_S
METHODISTS    M_EH EH_TH TH_AH AH_D D_AH AH_S S_T T_S
METHODISTICAL    M_EH EH_TH TH_AH AH_D D_IH IH_S S_T T_IH IH_K K_AH AH_L
METEOROLOGY    M_IY IY_T T_IY IY_UH UH_R R_AA AA_L L_AH AH_JH JH_IY
METEMPSYCHOSIS    M_IY IY_T T_IY IY_M M_S S_AA AA_IY IY_K K_AO AO_UH UH_S S_AH AH_S
METED    M_IY IY_T T_IH IH_D
META'S    M_EH EH_T T_AH AH_Z
METAPHYSICIANS    M_EH EH_T T_AH AH_F F_AH AH_Z Z_IH IH_SH SH_AH AH_N N_Z
METAPHYSICIAN    M_EH EH_T T_AH AH_F F_AH AH_Z Z_IH IH_SH SH_AH AH_N
METAMORPHOSES    M_EH EH_T T_AH AH_M M_AO AO_R R_F F_AH AH_S S_IH IH_Z
METAMORPHOSE    M_EH EH_T T_AH AH_M M_AO AO_R R_F F_AO AO_UH UH_Z
META    M_IY IY_T T_AH
MESSIEURS    M_EH EH_IY IY_S S_Y Y_UH UH_R R_Z
MESSENGER'S    M_EH EH_S S_AH AH_N N_JH JH_UH UH_R R_Z
MESSAPUS    M_EH EH_S S_AH AH_P P_AH AH_S
MESMERISM    M_EH EH_S S_M M_UH UH_R R_IH IH_Z Z_AH AH_M
MESMERIC    M_EH EH_Z Z_M M_UH UH_R R_IH IH_K
MESERVE    M_EH EH_S S_UH UH_R R_V
MESEEMED    M_EH EH_S S_IY IY_M M_D
MESDAMES    M_EH EH_IY IY_D D_AE AE_M M_Z
MERTELLE    M_EH EH_R R_T T_AH AH_L
MERSEY    M_UH UH_R R_S S_IY
MERRYMEN    M_EH EH_R R_IY IY_M M_AH AH_N
MERRYMAKERS    M_EH EH_R R_IY IY_M M_EH EH_IY IY_K K_UH UH_R R_Z
MERRIPIT    M_UH UH_R R_IH IH_P P_IH IH_T
MERRIMAC'S    M_EH EH_R R_IH IH_M M_AE AE_K K_S
MERODACH    M_UH UH_R R_AO AO_UH UH_D D_AH AH_K
MERMAID'S    M_UH UH_R R_M M_EH EH_IY IY_D D_Z
MERMAID    M_UH UH_R R_M M_EH EH_IY IY_D
MERITING    M_EH EH_R R_AH AH_T T_IH IH_NG
MERCIANS    M_UH UH_R R_SH SH_AH AH_N N_Z
MENTONE    M_EH EH_N N_T T_AO AO_UH UH_N
MENTALITY    M_EH EH_N N_T T_AE AE_L L_IH IH_T T_IY
MENOTOMY    M_IH IH_N N_AA AA_T T_IH IH_M M_IY
MENFOLKS    M_EH EH_N N_F F_AO AO_UH UH_K K_S
MENDS    M_EH EH_N N_D D_Z
MEMNON    M_EH EH_M M_N N_AA AA_N
MEMENTOES    M_IH IH_M M_EH EH_N N_T T_AO AO_UH UH_Z
MEMBRANES    M_EH EH_M M_B B_R R_EH EH_IY IY_N N_Z
MELTER    M_EH EH_L L_T T_UH UH_R
MELOS    M_EH EH_L L_AO AO_UH UH_Z
MELLOWER    M_EH EH_L L_AO AO_UH UH_UH UH_R
MELIS    M_EH EH_L L_IH IH_S
MELCHESTER    M_EH EH_L L_CH CH_EH EH_S S_T T_UH UH_R
MELBOURNE    M_EH EH_L L_B B_UH UH_R R_N
MELANCTHON    M_EH EH_L L_AH AH_N N_K K_TH TH_AH AH_N
MEIJI    M_EH EH_IY IY_JH JH_IY
MEGRIMS    M_EH EH_G G_R R_AH AH_M M_Z
MEGATHERIUM    M_EH EH_G G_AH AH_TH TH_IH IH_R R_IY IY_AH AH_M
MEEKS'S    M_IY IY_K K_S S_IH IH_Z
MEDIUMS    M_IY IY_D D_IY IY_AH AH_M M_Z
MEDITATES    M_EH EH_D D_AH AH_T T_EH EH_IY IY_T T_S
MEDIAEVALISM    M_IY IY_D D_IY IY_EH EH_IY IY_V V_AH AH_L L_IH IH_Z Z_AH AH_M
MEDALIST    M_EH EH_D D_AH AH_L L_IH IH_S S_T
MECHANICIANS    M_EH EH_K K_AH AH_N N_IH IH_SH SH_AH AH_N N_Z
MEATH    M_IY IY_TH
MEASTER    M_IY IY_S S_T T_UH UH_R
MEANNESSES    M_IY IY_N N_N N_AH AH_S S_IH IH_Z
MEANDERING    M_IY IY_AE AE_N N_D D_UH UH_R R_IH IH_NG
MEADOWCROFT    M_EH EH_D D_AO AO_UH UH_K K_R R_AO AO_F F_T
MAZEPPA    M_AH AH_Z Z_EH EH_P P_AH
MAYPOLE    M_EH EH_IY IY_P P_AO AO_UH UH_L
MAYEST    M_EH EH_IY IY_IH IH_S S_T
MAYBERRY    M_EH EH_IY IY_B B_EH EH_R R_IY
MAXIMILIAN'S    M_AE AE_K K_S S_IH IH_M M_IH IH_L L_IY IY_AH AH_N N_Z
MAWKISHNESS    M_AO AO_K K_IH IH_SH SH_N N_AH AH_S
MAVOURNEEN    M_EH EH_IY IY_V V_AO AO_R R_N N_IY IY_N
MAURITIUS    M_AO AO_R R_IH IH_T T_IY IY_AH AH_S
MAUNDERED    M_AO AO_N N_D D_UH UH_R R_D
MAULS    M_AO AO_L L_Z
MAULED    M_AO AO_L L_D
MAUDIE    M_AO AO_D D_IY
MATURATION    M_AE AE_CH CH_UH UH_R R_EH EH_IY IY_SH SH_AH AH_N
MATTHEWS'S    M_AE AE_TH TH_Y Y_UW UW_Z Z_IH IH_Z
MATTERHORN    M_AE AE_T T_UH UH_R R_HH HH_UH UH_R R_N
MATINEES    M_AE AE_T T_IH IH_N N_EH EH_IY IY_Z
MATERIALISTIC    M_AH AH_T T_IH IH_R R_IY IY_AH AH_L L_IH IH_S S_T T_IH IH_K
MATERIALIST    M_AH AH_T T_IH IH_R R_IY IY_AH AH_L L_IH IH_S S_T
MATCHLOCKS    M_AE AE_CH CH_L L_AA AA_K K_S
MASTICATE    M_AE AE_S S_T T_AH AH_K K_EH EH_IY IY_T
MASTHEAD    M_AE AE_S S_T T_HH HH_EH EH_D
MASTERFULLY    M_AE AE_S S_T T_UH UH_R R_F F_AH AH_L L_IY
MASTED    M_AE AE_S S_T T_IH IH_D
MASSE    M_AE AE_S
MASSAGE    M_AH AH_S S_AA AA_ZH
MASSACRING    M_AE AE_S S_AH AH_K K_UH UH_R R_IH IH_NG
MASQUERS    M_AE AE_S S_K K_UH UH_R R_Z
MASQUERADERS    M_AE AE_S S_K K_UH UH_R R_EH EH_IY IY_D D_UH UH_R R_Z
MASO    M_AE AE_Z Z_AO AO_UH
MARVELL'S    M_AA AA_R R_V V_EH EH_L L_Z
MARTYR'S    M_AA AA_R R_T T_UH UH_R R_Z
MARTINEZ    M_AA AA_R R_T T_IY IY_N N_EH EH_Z
MARTINDALE    M_AA AA_R R_T T_IH IH_N N_D D_EH EH_IY IY_L
MARTEN    M_AA AA_R R_T T_AH AH_N
MARSUPIALS    M_AA AA_R R_S S_UW UW_P P_IY IY_AH AH_L L_S
MARSHMORETON    M_AA AA_R R_SH SH_M M_AO AO_R R_IH IH_T T_AA AA_N
MARSHALLING    M_AA AA_R R_SH SH_AH AH_L L_IH IH_NG
MARSHALING    M_AA AA_R R_SH SH_AH AH_L L_IH IH_NG
MARSALA    M_AA AA_R R_S S_AA AA_L L_AH
MAR'S    M_AA AA_R R_Z
MARRING    M_AA AA_R R_IH IH_NG
MARRIAGEABLE    M_EH EH_R R_IH IH_JH JH_AH AH_B B_AH AH_L
MARQUESS'S    M_AA AA_R R_K K_W W_AH AH_S S_IH IH_Z
MARQUE    M_AA AA_R R_K
MARNOO    M_AA AA_R R_N N_UW
MARMOT    M_AA AA_R R_M M_AH AH_T
MARMEE    M_AA AA_R R_M M_IY
MARMADUKE    M_AA AA_R R_M M_AH AH_D D_UW UW_K
MARLEY'S    M_AA AA_R R_L L_IY IY_Z
MARIVAUX    M_AA AA_R R_IY IY_V V_AO AO_UH
MARINATED    M_EH EH_R R_AH AH_N N_EH EH_IY IY_T T_IH IH_D
MARIAR    M_AA AA_R R_IY IY_AA AA_R
MARHEYO'S    M_UH UH_R R_HH HH_EH EH_IY IY_AO AO_UH UH_Z
MARGE    M_AA AA_R R_JH
MARGATE    M_AA AA_R R_G G_EH EH_IY IY_T
MARCH'D    M_AA AA_R R_SH SH_D
MARCELLUS    M_AA AA_R R_S S_EH EH_L L_AH AH_S
MARCEL    M_AA AA_R R_S S_EH EH_L
MARBURY    M_AA AA_R R_B B_EH EH_R R_IY
MARAUDER    M_UH UH_R R_AO AO_D D_UH UH_R
MARATHON    M_EH EH_R R_AH AH_TH TH_AA AA_N
MAPPING    M_AE AE_P P_IH IH_NG
MANUALS    M_AE AE_N N_Y Y_UW UW_AH AH_L L_Z
MANTLING    M_AE AE_N N_T T_L L_IH IH_NG
MANSARD    M_AE AE_N N_S S_UH UH_R R_D
MANS    M_AE AE_N N_Z
MANOA    M_AA AA_N N_AO AO_UH UH_AH
MANNIE    M_AE AE_N N_IY
MANNERLY    M_AE AE_N N_UH UH_R R_L L_IY
MANNERISM    M_AE AE_N N_UH UH_R R_IH IH_Z Z_AH AH_M
MANKIND'S    M_AE AE_N N_K K_AA AA_IY IY_N N_D D_Z
MANITOULIN    M_AE AE_N N_AH AH_T T_UW UW_L L_AE AE_N
MANITO    M_AA AA_N N_IY IY_T T_AO AO_UH
MANIPULATED    M_AH AH_N N_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_T T_IH IH_D
MANIPULATE    M_AH AH_N N_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_T
MANIOC    M_AE AE_N N_IY IY_AA AA_K
MANIKIN    M_AE AE_N N_IH IH_K K_IH IH_N
MANIFESTOES    M_AE AE_N N_AH AH_F F_EH EH_S S_T T_AO AO_UH UH_Z
MANICURE    M_AE AE_N N_IH IH_K K_Y Y_UH UH_R
MANICHEISM    M_AA AA_N N_IY IY_K K_IY IY_IH IH_Z Z_AH AH_M
MANICHEANS    M_AE AE_N N_IH IH_HH HH_IY IY_N N_Z
MANIACS    M_EH EH_IY IY_N N_IY IY_AE AE_K K_S
MANHEIM    M_AE AE_N N_HH HH_AA AA_IY IY_M
MANGOES    M_AE AE_NG NG_G G_AO AO_UH UH_Z
MANED    M_EH EH_IY IY_N N_D
MANDOLIN    M_AE AE_N N_D D_AH AH_L L_IH IH_N
MANDATES    M_AE AE_N N_D D_EH EH_IY IY_T T_S
MANASSEH    M_AH AH_N N_AA AA_S S_AH
MANASSAS    M_AH AH_N N_AA AA_S S_AH AH_S
MANAOS    M_AE AE_N N_AA AA_UH UH_S
MANAGEABLE    M_AE AE_N N_IH IH_JH JH_AH AH_B B_AH AH_L
MAMMAS    M_AE AE_M M_AH AH_Z
MAMMAL    M_AE AE_M M_AH AH_L
MAMIE    M_EH EH_IY IY_M M_IY
MAMA'S    M_AA AA_M M_AH AH_Z
MALTHUSIAN    M_AE AE_L L_TH TH_UW UW_Z Z_IY IY_AH AH_N
MALONE'S    M_AH AH_L L_AO AO_UH UH_N N_Z
MALLETT    M_AE AE_L L_IH IH_T
